RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::273,665135416,264.368
2025/11/16 23:44:46::273,665135418,269.204
2025/11/16 23:44:46::273,665135421,268.398
2025/11/16 23:44:46::273,665135424,270.816
2025/11/16 23:44:46::273,665135426,271.622
2025/11/16 23:44:46::273,665135429,272.428
2025/11/16 23:44:46::273,665135432,274.040
2025/11/16 23:44:46::273,665135434,274.846
2025/11/16 23:44:46::273,665135437,274.040
2025/11/16 23:44:46::273,665135439,274.846
2025/11/16 23:44:46::273,665135442,275.652
2025/11/16 23:44:46::273,665135445,270.816
2025/11/16 23:44:46::273,665138402,214.396
2025/11/16 23:44:46::273,665138404,225.680
2025/11/16 23:44:46::273,665138407,235.352
2025/11/16 23:44:46::273,665138410,243.412
2025/11/16 23:44:46::273,665138412,249.860
2025/11/16 23:44:46::273,665138415,255.502
2025/11/16 23:44:46::273,665138418,253.890
2025/11/16 23:44:46::273,665138420,261.950
2025/11/16 23:44:46::273,665138423,269.204
2025/11/16 23:44:46::273,665138425,263.562
2025/11/16 23:44:46::273,665138428,269.204
2025/11/16 23:44:46::273,665138431,271.622
2025/11/16 23:44:46::273,665138433,272.428
2025/11/16 23:44:46::273,665138436,273.234
2025/11/16 23:44:46::273,665138439,274.040
2025/11/16 23:44:46::273,665138441,274.846
2025/11/16 23:44:46::273,665138444,274.846
2025/11/16 23:44:46::273,665138447,274.846
2025/11/16 23:44:46::273,665138449,275.652
2025/11/16 23:44:46::273,665138452,276.458
2025/11/16 23:44:46::273,665141396,236.964
2025/11/16 23:44:46::273,665141398,233.740
2025/11/16 23:44:46::273,665141401,249.054
2025/11/16 23:44:46::273,665141403,253.084
2025/11/16 23:44:46::273,665141406,257.920
2025/11/16 23:44:46::273,665141409,261.950
2025/11/16 23:44:46::273,665141411,265.174
2025/11/16 23:44:46::273,665141414,268.398
2025/11/16 23:44:46::273,665141417,269.204
2025/11/16 23:44:46::273,665141419,272.428
2025/11/16 23:44:46::273,665141422,272.428
2025/11/16 23:44:46::273,665141425,270.010
2025/11/16 23:44:46::273,665141427,274.846
2025/11/16 23:44:46::273,665141430,275.652
2025/11/16 23:44:46::273,665141432,280.488
2025/11/16 23:44:46::273,665141435,273.234
2025/11/16 23:44:46::273,665141438,280.488
2025/11/16 23:44:46::274,665141440,271.622
2025/11/16 23:44:46::274,665141443,278.070
2025/11/16 23:44:46::274,665141446,278.876
2025/11/16 23:44:46::275,665144381,234.546
2025/11/16 23:44:46::275,665144383,249.860
2025/11/16 23:44:46::275,665144386,262.756
2025/11/16 23:44:46::275,665144389,261.144
2025/11/16 23:44:46::275,665144391,269.204
2025/11/16 23:44:46::275,665144394,266.786
2025/11/16 23:44:46::275,665144396,270.010
2025/11/16 23:44:46::275,665144399,272.428
2025/11/16 23:44:46::275,665144402,270.816
2025/11/16 23:44:46::275,665144404,274.846
2025/11/16 23:44:46::275,665144407,274.846
2025/11/16 23:44:46::276,665144410,275.652
2025/11/16 23:44:46::276,665144412,278.070
2025/11/16 23:44:46::276,665144415,278.070
2025/11/16 23:44:46::276,665144418,280.488
2025/11/16 23:44:46::276,665144420,273.234
2025/11/16 23:44:46::276,665144423,282.100
2025/11/16 23:44:46::276,665144425,280.488
2025/11/16 23:44:46::276,665144428,280.488
2025/11/16 23:44:46::276,665144431,280.488
2025/11/16 23:44:46::277,665147400,240.188
2025/11/16 23:44:46::278,665147402,248.248
2025/11/16 23:44:46::278,665147405,255.502
2025/11/16 23:44:46::278,665147408,259.532
2025/11/16 23:44:46::278,665147410,265.174
2025/11/16 23:44:46::278,665147413,266.786
2025/11/16 23:44:46::278,665147416,270.010
2025/11/16 23:44:46::279,665147418,276.458
2025/11/16 23:44:46::279,665147421,274.846
2025/11/16 23:44:46::279,665147423,277.264
2025/11/16 23:44:46::279,665147426,275.652
2025/11/16 23:44:46::279,665147429,278.070
2025/11/16 23:44:46::279,665147431,277.264
